Front,Back,Tags
What kind of tool is Symfony Flex?,"A Composer plugin that resolves aliases and applies recipes<br><br>Flex is a Composer plugin. It runs at Composer install/update time, resolving package aliases and applying recipes; it has no role during HTTP request handling.",architecture
What does the symfony.lock file track?,Which recipes are installed and their versions<br><br>symfony.lock records applied recipes so Flex can detect updates and reverse them; it is distinct from composer.lock (package versions).,architecture
How does a recipe auto-register a bundle?,"By writing an entry into config/bundles.php<br><br>The bundles configurator adds the bundle class to config/bundles.php, which the kernel reads at boot via MicroKernelTrait::registerBundles().",architecture
Which repository holds the community (opt-in) recipes?,symfony/recipes-contrib<br><br>Curated recipes live in symfony/recipes; community recipes live in symfony/recipes-contrib and require enabling extra.symfony.allow-contrib.,architecture
Which statement about symfony.lock vs composer.lock is correct?,"symfony.lock records applied recipes; composer.lock records resolved package versions — both are committed<br><br>The two files are complementary, not interchangeable. composer.lock pins resolved package versions (Composer&#x27;s job); symfony.lock pins which recipe versions were applied (Flex&#x27;s job) so every teammate/CI reproduces the same config and Flex can detect/rollback recipe changes. Both must be committed. The common trap is thinking one supersedes the other or that they should be ignored.",architecture
At which point in a project's lifecycle does Symfony Flex actually run?,"Only at Composer time — it subscribes to Composer events like post-install-cmd/post-update-cmd and package install/uninstall<br><br>Flex is a Composer plugin that hooks Composer&#x27;s event system; when a package is installed/updated/removed it resolves aliases and applies (or reverses) the matching recipe&#x27;s configurators. It writes files (config/, .env, bundles.php) but plays no part in the HTTP runtime, the DI compiler, or terminate — those read the files Flex produced.",architecture
"In Flex terminology, what is the difference between an alias and a recipe?","An alias is a short name that maps to a real package; a recipe is the automation (configurators) applied when that package is installed<br><br>`composer require orm` uses the alias `orm`, which resolves to the real package `doctrine/orm`; the alias only affects the name written to composer.json. The recipe is the separate automation (bundles, copy-from-recipe, env, container configurators described in manifest.json) that wires the package into your app. Aliases are convenience; recipes are the work.",architecture
Under which license is Symfony released?,"MIT<br><br>Symfony components are released under the permissive, non-copyleft MIT license.",architecture
What is the core obligation of the MIT license?,Retain the copyright and permission notice in copies<br><br>MIT only requires that the copyright and permission notice be kept in all copies or substantial portions; it is not copyleft.,architecture
Does the MIT license grant rights to use the Symfony name and logo?,No — those are governed by the separate trademark policy<br><br>The code license (MIT) and the trademark (name/logo) are separate legal instruments. Using the Symfony name/logo follows Symfony SAS&#x27;s trademark policy.,architecture
